id,product_title,product_id,threepk
1,In the Zone 3 Item,614522486816,t
2,In the Zone 5 Item,614522748960,f
3,In the Zone 3 Item Autorenew,614826967072,t
4,In the Zone 5 Item Autorenew,614839353376,f
5,Desert Sage 3 Item,614505742368,t
6,Desert Sage 5 Item,614505873440,f
7,Desert Sage 3 Item Autorenew,633519439904,t
8,Desert Sage 5 Item Autorenew,633513508896,f
9,May Flowers 3 Item,746988568668,t
10,May Flowers 3 Item Autorenew,746988601436,t
11,May Flowers 5 Item,746988699740,f
12,May Flowers 5 Item Autorenew,746988732508,f
13,RosÂ All Day - 3 Items,780276236380,t
14,RosÂ All Day - 3 Items  Auto renew,782679048284,t
15,RosÂ All Day - 5 Items,780276269148,f
16,RosÂ All Day - 5 Items  Auto renew,782678851676,f
17,Print Paradise - 3 Items,1337218170972,t
18,Print Paradise - 5 Items,1337218203740,f
19,Print Paradise - 3 Items Auto renew,1341200728156,t
20,Print Paradise - 5 Items Auto renew,1341200760924,f
21,Meet Your Match - 3 Items,1371333656668,t
22,Meet Your Match - 5 Items,1371333689436,f
23,Meet Your Match - 3 Items Auto renew,1375608274995,t
24,Meet Your Match - 5 Items Auto renew,1375608406067,f
